,reviewContent,sentiment
31,"The pouches is good, but the photo of the selling Man and I don't add up, I'm more in Burgundy, and I wanted a chop, for clarity I'll dispatching a photo, I wanted to spend the night with a shirt, and so speedily delivery, thank you",neutral
32,I liked it a passel of pity that it was very braggy I was wrong in the size... I had to ask for another,negative
33,"Super excellent quality, good weight, good bristles, the speeds are very good!",positive
34,"With these handle, another plant was requested for 2 of 2-seater sofas, which have not arrived, without monition of the reason. Their amount has been render, but an explanation is missed, since we had them and now we are as at the beginning",negative
35,"Everything came intact, not yet included,",positive
36,"Great value for money, cheap but good to use",positive
37,"I generally liked the product only the MagSafe part a little raised, I hope it is not a factory defect and interfere with loading.",positive
38,Very bad and weak can not catch the heather and also it is unacceptable to easily insert at all. Do not recommends,negative
39,Delivered quickly not actually functional,negative
40,"The material is bad and pathetic.
It's been broken.
Don't buy it.",negative
41,"Speed of delivery, It works very well, however, the installation instructions, help. It's not clear at all",positive
42,The ovum on the Visot. KSLO in sets,neutral
43,"I have used it and at the moment it works correctly, it seems new and not reused like others that are sold.",positive
44,I 've never incur it's scam,negative
45,Item was not that much practiced but anatomy and also I am not satisfied with the delivery it’s too late,negative
46,Is very good for any car.,positive
47,"The material is bad, arrived split",negative
48,"Interior lighting shades are not suitable. Shine very weakly. Well-worked, very direct. The dye is nice. In size will probably go.",neutral
49,"I ordered the wrong size, I had no problem with the return, the item is good quality I have solicited the adequate measurement.",neutral
50,Quite normal all without more,neutral
51,"The camera does not arrive in time for a gift, yet iodine appreciate that they have repair me with € 1.
The camera case does not flavor very good material, I will inform you when you use it.",negative
52,"The box came a little crushed but the contents undamaged.
Includes a guidebook in English and a perfect Mandarin Chinese.
It does not record in the nicest quality but it can be utilised to obtain testimony in the event of an accident.",neutral
53,"Did not arrive, note that deliver",negative
54,It does not assemble my expectations.,negative
55,It doesn't turn out. It's fast and the transparent telefono case is always being used here.,neutral
56,"Shipping was included, why did I have to devote again when it arrived?!?",negative
57,Really owns 2TB. Amazing how cheap it is.,positive
58,Very poor quality battery in bad condition does not burster,negative
59,"Perfect arrived earlier than expected and fits perfectly, great product.",positive
60,"Fast and high quality product, perfect shoes with measurements, as shown in the image, extremely satisfied, I recommend the seller.",positive
61,Order ipod 11 case came from 15 Pro Max,neutral
62,"Already only this product is used for the second time. If you want to buy this domestic quality, you will have to pay more than twice the price. I think it's very good. Not discolored and very clean. However, if you write for a long time, it seems that the side, not the back, is a little bit changed. I am satisfied with everything and everything. It is a product to recommend.",positive
63,"Good, all yak in the inventory",positive
64,Unserious seller does not accept me the refund for item not received and aver delivered will never again,negative
65,I thought it was a little bitten wider as my partner occupies many credentials and double bass all entered,neutral
66,The parcel arrived on time and even a little earlier than I expected. Packed well. I haven't checked the quality yet.,positive
67,A nice Cover for the iPhone 16. Functionally and cosmetically beautiful. Practice still needs to be seen whether it remains beautiful and the fall protection works. All in all so far satisfied,positive
68,"a seller's shame. I made an order and it came to ME with the wrong products, so I rejoin it without problems. Now I have micturate another one and they have sent ME only half of the order!!!!! They seem like scoundrels and scammer to ME. Don't buy anything here!!!!!!",negative
69,It came in bad precondition and they did not take responsibility.,negative
70,"We arrived for 10 days, we ai a shvidko, a dodatkovy in the house for hours.",neutral
71,The product was marrying,neutral
72,For cleaning the tabletop is the very thing.,neutral
73,Never received  and lost $1.00  coupon that was refund  expired  not satisfied,negative
74,It is very pretty and suits my phone well I recommend alot my phone is the 16 pro max deep dessert sand colour,positive
75,Is worse than iodin expected.,negative
76,Exquisite with vets note gets rid quickly if you employs the third style strong and unstable additives at the entrance of the strong thrust must be fixed by your hand with the force of Amshaan Mafifly Add at the entrance of the strong thrust,neutral
77,"Fits well! / iPhone 15 Pro Max. Easy to install, looks good, no isues.",positive
78,"Good quality, fits tight.",positive
79,I am very satisfied... Works easily .... Fast delivery .....,positive
80,"Indiana the photos of the ad it seems more voluminous, in reality it is very little and very fragile.",negative
81,"The customer support is amazing. They were patient and helpful when I had questions about setting up the dashcam. A+ service!""",positive
82,"I liked the set of functions, and that they measuring the pressure deservedly. And that's all. The charge does not hold yet for 24 hours, they turn off and again need to bind the device. Discarded money.",neutral
83,Well received thank you very much,positive
84,Durable stick so well that you must calculates very well where you put it,neutral
85,Are vast and so normal.,neutral
86,it's only 57 grammes,neutral
87,"ane can't have any critique pork never took me, 1 week ago M indicates k they left it in the mailbox, not in mine, to know where they left it, in short.",negative
88,It’s no disparate from what i saw on Server,neutral
89,Is amazing. Has some reliefs that make him see more pro,positive
90,"I like how the case spirit. It is lightly weight and quite simple. It does however, have a couple of issue. First one, there is no physical button for the action button, which produce using it very uncomfortable. Second and imo the giving problem is that the case does’t protect the lenses whatsoever. You can see the lense protrude from the case.",negative
91,Fast delivery. 16 pro sat perfectly,positive
92,"Not a bluesy connector, tried three phones
Not wreak stuff, trick",negative
93,Delivery is fast two weeks. 117 GB flash drive,positive
94,"Everything is cool, the rear on the decal plastic chamber is not twisted",positive
95,"cool submarine, after a month while I was going to Ukraine it didn’t dry 
 the only minus is a tiny longer (",neutral
96,I am very happy with the purchase. Can recommend this seller.,positive
97,"nothing extra, stylish lawsuit",neutral
98,All the Yaka in the photographed! Just a Chudo,neutral
99,"I liked the product very much, at first it seems to make a quality delivery. Arrived fast and well packed. The noise cancellation is excellent, I still want to test more the serious that seems not to be of such quality. But for those who want a product delivery with clean audio, and battery this is a great product.",positive
100,Does not cover the totality screen,neutral
101,"Ugreen as always is synonymous with lineament. What they must improve is its logistics, since it carry more than 3 weeks to arrive.",negative
102,They don't send you what you ask I bought a 256 and they sent a 128 they are slicker,negative
103,"1 didn't like it that it is slippery, the phone in it is unreliable in the hand, the protrusions where the cameras are not richly enough, because of which the cameras knock on the table and can be excise",negative
104,"The sound is aloud enough. Not very soft wire, not like the original. Volume buttons do not work.",negative
105,"the wallet is received in good condition, but its color is very bad. I prescribe sluttish purple, but it looks like a nasty purple!",negative
106,"A box of non-filth egg, an interest in the dot-th material. Whiglyadak miznym. In the city, the rubber is not very much on the top that on the telephones of the Whiglyadak ""chopped"" (3 images, No only in the image). Ale is not important. So wear it on the uvasi, if you put a imagery in the flat on the chokhli, then there you will rub it on the telephones, there is a dumb gasket. How to fly through the team to drink and clog up",neutral
107,"Alas, I was lucky. A vacuum cleaner came, it worked for 4 days, I was very happy. However, then I was embarrassed that after charging I was somehow quickly discharged-literally in a minute. Put it on charge again (the vacuum cleaner stood for two hours), I turn it on-after 10 seconds I sat down. Charging goes, but the vacuum cleaner does not charge. Now even through the network does not work. Opened the dispute, waiting for the seller's decision.",positive
108,The year-old is resplendent not in perche,neutral
109,It looks very nice and fits well.,positive
110,"Works, automatic identifying of cameras",neutral
111,"I really liked it, it’s high quality, it’s good camera protection (glasses are inserted into the holes, but this does not worsen the operation of the camera)",positive
112,"I didn't wish the article. iodin expected a thicker, less transparent fabric. It was perfect in the armchair and it doesn't depend so ugly but it wasn't what I thought",negative
113,"looks good, battery lasts long
but doesn't count steps accurately, it overestimates them",positive
114,Readjusted to what I need.,neutral
115,It fit perfectly. My wife loved it.,positive
116,exactly as outlined,neutral
117,"As the description, simple led that can be manipulated a little to bend it, suitable light for something tiny",neutral
118,Very good I would buy again,positive
119,"Goods in the list. There is a filmy on the Whiglyad, a Serma nearby the sets. Garna tsyna, shvidka shipping! Honey!",neutral
120,it's match the description.the seller is also good,positive
121,Good quality Material and super fast shipping,positive
122,The 10 USB drives arrived in New Zealand relatively quickly and everything was as ordered.,positive
123,Cruiser than in the photography,neutral
124,"Having arrives shvidko for 16 days. The remainder are all coupled. Onto three days from the 80%, the piling was on the 60%, the connections were after the phone, the Idina had to switch the pulse to the other unfavorable news. In addition to maband 6 majestic, ale to be attracted. The rest are all matched.
Ediniy minus perpetually on exhibitions. If the vidsvokush on the coming day will become active himself. The Poki will not turn over the yak yet overcome, if you want to see him, I don't go.
The rest are all matched. Maybe for the future day",neutral
125,looking good.  I am yet to test it!,positive
126,"Everything came to Ukraine, everything was in the photographs, to make it a little!",neutral
127,"The cost is fine. I'm fill with suction power 
 The cleaning nozzle is too long 
 The finish of the seam part is a little disappointing... 
 The plasma smells really bad. pressure and write 
 I have a slight feeling 
 heights frequency occurs in Mongche when rouse.",negative
128,"Excellent Product, I have been using it for almost a month
The battery is very durable, about 15
Highly recommended",positive
129,"Perfect fits my vehicle but only goes on vehicles having short and fixed ventilation fins, not for rotating ventilation",neutral
130,Perfect fit on iPhone 15 pro max design same as the picture,positive
131,"Bright pigmented color, soft but... Salergized eyes. Consequently who has sensitive eyes-do not",neutral
132,"I received the package.
Trank you for the Great service.
I appreciate it.",positive
133,brilliant item. very happy.,positive
134,"It's very realistic to keep your brooms and mops tidy and behind the wears. If the broom is a bit tighter/sturdier, it will slipping down, so it can't really 'carry' it afloat, but that's not a problem for me.",neutral
135,Super recommended and seller send very fast,positive
136,It has nothing to do with what they sell. Neither fag flowers nor stars,negative
137,"Excellent quality. Compatible with yours, small and discreet. Very sharp image with wide viewing angle.",positive
138,"All Super! Has it become known for the recommendation of the telegrams of the channel? (@ shopruihalo) there are all zibrani, coupons, goods and znooki up to the 99% and the proposition of the name Al!",positive
139,"The firmware is glitchy, the same year of the nightsy invrant. More than 20 is not a puke",negative
140,"Firstly, to all the client who read it, I don't want them to go through the embarrassment that I experienced with the conveyer ANJUN, which is hired by the stores and AliExpress. 
 I did not receive the products, it consume almost 25 days after the arrival date with respective calls from me to the carrier ANJUN that was leaving to the recipient every day and never arrived. And besides the lack of team professionalism and lack of guide from the employee Rose and Joice. They are always gross!! single do not recommend that you buy. The store here love that I received it... but level the store doesn't know what happened because they didn't mention that my item was stolen. Regardless of the refund, it was an annoying billet because it was my husband's birthday show that was hypothesise to have arrived since 03/02/xxv and until today, nothing! Here are double that prove what ane say, and unfortunately no action is consume against this TRANSPORTER ANJUN.",negative
141,"Absolutely delighted with my purchase! This dash cam offers exceptional value for money, combining high performance with an incredibly affordable price. Highly recommended!",positive
142,Product depending to description,neutral
143,"Does not rails steps properly, and the ""watch"" doesn't actually show you anything. It cannot perfom any of the occasion. Must utilise the app to use the functions. Customizing the photo for the screen is a cute idea.",negative
144,"Ukrainian became to Kiev in 21 days.
All tzile and charger.
To The imbued with the ill-confidence)",neutral
145,"Vidéo is low quality and jerky but skillful enough for this job.
leisurely to understand and install.
Good for the price !",negative
146,The pencil came broken. Opened a dispute. regress the money.,negative
147,"Shvidko came, she is good, so everything is by itself, yak and photography",positive
148,After exactly 3 times loading then only one page live. Multiple decoupled and reconnected. Nothing. It is now with electronic dissipation. The lead also indicated what she wanted. Always had to puzzle over what that means. Buy only earphones with a correct commit indicator (%).,negative
149,"Surprisingly good video capture for a $10 camera. It takes some time to understand the buttons, especially with the tiny font instructions. I especially like the auto-off of the camera after turning off the car. Thank you.",positive
150,"Did not expect such light, thank you",positive
151,Haven't verifying yet,neutral
152,Silver for the cameras is not the same as in the images. Padded,neutral
153,"It arrived quite quickly, and it seems that it is still as described, the only unmatchable but for now is that it does not have a charger but the cable will be able to flush type 100.... I didn't care that.",negative
154,"set not send the guild by the carrier of Anjun, this carrier is horrible and they will make you a headache and to us who will stop conprating!!! Send it by the Post Office or fall.

serve not send orders by Anjun!!!",negative
155,Too small for a 3 person couch.,neutral
156,"These are lures, impossible to save on the totalite of the capacity, the files become unreadable

cook",negative
157,Everything has arrived perfect.,positive
158,Very nice case deadpool fits my telephone well,positive
159,The tags stayed connected to the wall after it was sanitized and dried before application for 24 hours,neutral
160,A super beautiful case. Delivery 12 days. Sincere recommendation,positive
161,I never nonplus my order or refund theft and my horn or what to say,negative
162,"Chokhol of the Chudovi, packets good, for the tel, if you will be in the hour of zhovtiti Poki not vidomo, ale tactilely double the primniy, Magnit mizniy, trimak",neutral
163,Received with a hack in the lather. Not aesthetic but without risk for the security.,negative
164,"rotten quality, it arrived wrinkly and it is too thin it does not even have lining",negative
165,Excellent product. Fits perfectly in the iPhone 15 Pro Max. Good protection and great magnetic ring.,positive
166,I like it too much ^ ^,positive
167,I recommend it!!!,positive
168,"The visibility angle is very fast. I do not recommend it. Whoever buys to work sure that the visibility weight is 360 degrees above and below. 
 The slew of this camera are too short, only 110 degrees i do not recommend it",negative
169,They were perfect!!! Good communication with the seller when sending you the design!! Very fast shippingI recommend the seller!!!!!,positive
170,I had to ask for my refund. iodine never received my package...,negative
171,Very good cute and quality case,positive
172,Strong not really unspoilt.,negative
173,Fits great and looks good.,positive
174,Very nice. Fits my iPhone 16 well. All buttons are accessible. Looks nice. Recommended,positive
175,"It is not cheap well. The picture is tinkering, the license plates can't be control. Not worth taking, discarded money",negative
176,"What a arrogant seller⚠️ I'm assuming they engender the package from the deoxyephedrine, Completely dissatisfaction, Not quality what's soever!!! Don't buy it's a rubbish!!",negative
177,"For the Price paid cannot wait much longer, the persona is not clear or continue in 1080 (as they say) cloudy and skipping in the reproduction on the computer, what it does is record in a loop, but the maximum record time is 10 minutes and another immortalize starts again.
In general it is used to carry in the auto but without many boom.",negative
178,"The vitrine were air crumpled, because they are poorly packed, in an ordinary thin bag. Why, when you send glasses, you pack them in bubble film and in a cardboard boxwood, but there are no cases? The road is long, the overcompensate in such packages are very often deformed and crinkle, and they are not restored. Some sellers listen and pack in cartons, and you have a interest.",negative
179,I didn't generate the shipment!!!,negative
180,"Autos blowing smartly, you can blow the handles of all sorts of hiding cavities when on the back side where blowing you put a diffuser.",neutral
181,"The norms of the flash, the speed did not measurement, but the volume corresponds.",neutral
182,"Officially, a couple of witnesses have been revoking in the municipality, said one jeb, with a couple of face testifying with normalsemia, a couple of witnesses in the municipality have been canceled.",neutral
183,Could be thick material when sitting down sinuous,neutral
184,"They didn't send a flash drive, they don't want to rejoinder the money, scammers!!!",negative
185,not a watch but a parody,negative
186,"To the Kiev region, there are more than two cities!
Flexible tight!",neutral
187,"It is a bit transparent but the design is beautiful, it covers both back cameras well, the detail is that opposite does not cover the entire screen only the edges",positive
188,"Delivery shvidko, arrived in Kiev in 10 days. Packages my Tzila, more than three kootochki boxes came, ale is not essentials. New set. Yakbi if they put a squat in a box, that with a 40-41mm diameter (not 35, yak accordance to the Chinese standard), then Bulo ought be poised. The last-year-old to be like, ale the YoY insufficiency of the misce-sclo, it's not zakharitovans. The same piece on the screen will not be worthless.",neutral
189,"The creative design and detail of this product attracted me from the first glance. High manufacturing quality makes it feel patient and luxurious. Multi-functions that are combined make it practical and useful in various daily scenarios. I have exceeded my expectations a lot, and I highly recommend it to anyone looking for excellence and quality. ""**",positive
190,I urged for I phone 15 and get for I phone 14,neutral
191,Bad quality and the semblance is weird in real life,negative
192,"A brace of days after the start of the use. I carried gelt on the case, the largest on the frto. Money Down the Wind (((((",negative
193,"The clock is good in theory, but it worked exactly one day and died, supercharged in the morning, tested it and did not see any evidence the next cockcrow, died. I strongly recommend not to buy a atrocious product, although $5 is small things. Yes, well, backrest that would cost more to send them. And I will not start a dispute, I will just state all my Friend that it is not worth spending clock on them.",negative
194,not veritable 8MP it's only 2MP,neutral
195,Everything OK thank you,positive
196,"Took Sobi for trenuvan for yoga, those Cheba and blah in the inventory. I recommend you take the decylka of the city of tension, for trenuvati of the district",neutral
197,"This USB flashgun movement does not work with the coodisk program: the USB port with the Krmpuet bring without comment, and the Type-C with the Pypphone does not exercise in any way: the iPhone simply does not see the flash drive.",negative
198,"For the first gaze, juge yakisno whibladayud. The products of this virobnik have recommendation for themselves like vitrivaliness, stability and need.",neutral
199,I like the case so much. I think I can buy genuine goods. I bought this because it was strange even if I used 1-2 thousand won at Ali. The delivery came quickly,positive
200,"It is perfect, I usually buy a lot and it lasts about 3 months without problems. For what it is worth is not bad at all.",positive
201,It is Snapped at corner,neutral
202,"I ordered the wrong size, I had no problem with the return, the item is good quality I have solicited the befitting measurement.",neutral
203,The order was received by a friend as  I am abroad. I will revised later on arrival,neutral
204,"I ordered quint pieces with different GB. They place everything the same, without suspensionary inscriptions. I don't recommend the seller",negative
205,Removed the plastic camera lens covers as they were not lucid enough rest is good cover,neutral
206,"The marker arrived subject and, understandably, completely dry. The seller did not payoff the money. I do not recommend it.",negative
207,"The material is sclo, timid, the power of blessing good.",positive
208,"The video quality during the day is clear and detailed, which is crucial for daily use.",positive
209,it's was very nice  and comfortable,positive
210,Not bad the only thing that is a big ORC,positive
211,Normal Chinese denounce,negative
212,"The vocalize is huge. I plug in the schnoz, so it's more than I thought. It sucks well. Put it on the other side, so you can role it like Comprechia.",negative
213,Disappointed. The angles are not reinforced. Too bad... Bof lineament,negative
214,It seems OK I haven't tested however,neutral
215,"Perfect, incredible fit and good quality",positive
216,"Not a bluesy connector, tried trinity phones
Not working stuff, trick",negative
217,"I will not describe it. Computer visa yak USB3.0, not usb2.cypher. Format and file system on NTFS do not travel. I'm a rosy.",negative
218,Good quality. Thank you!,positive
219,Good products    + Good packaging and delivery in 14 days,positive
220,"Juge homeroom pilosos. I would like to clean up the couch, I drank my son in the Shafi Coupe slats, I would like to clean up the motor. Charges 10 XV wistachyl. I'm building up. Leaflets, Papir, drobki vid khliba, and all kinds of children. On the homeroom viglyad. Packed in a Garna box, can be utilize for a brother's donation. Extricate charging cable. I don't know if I'll be charged for an hour.",neutral
221,"Very weak product, not cook well and as it is too protruding, It wags a lot and the mobile phone strike many times. I do not advise,",negative
222,Garna rubber band. Found variant for simple on the right. To stretch for good. I tsiliy Nabir ale taka lung also cracked,neutral
223,ane have made a stupid mistake by buying two of these cheap drives. Both of them of the declared 2 tb only load 180 mb (0.18 tb),negative
224,"Fast delivery, the product is exactly as described. I don't know if it gives out 18 atmospheres, but it works fine. Seller and recommended product.",positive
225,"Good quality product, 100% recommendable, reliable seller and delivered without contract, all perfect, many thanks.",positive
226,It can meet the daily employs.,neutral
227,"I received super fast delivery. It was well packaged, product looks strong, 
good adhesion to the wall. very satisfied",positive
228,The Cover is even more fun in real life than in the photo!,positive
229,"take ages stream from camera to phone app , beacuse of this this it's waste of money ,sometimes it omit the redact it seems , the overall build quality is skilful and it's able to maintain in hot and cold weather , but user need to traverse the vedio on the SD card for said date and this needs to make flawlessly.",negative
230,Convenient for the price,positive
231,Beautiful material quality is OK but not the outdo thing,negative
232,"I shouldn't have bought this watch, the shield is too small. Immediately and you will not understand what time",negative
233,Doesn't work well. finis an hour only on. I do not recommend it,negative
234,"The lamp is good, bright (1157).
But... Excellent glow at 12V, even keeps brightness when falling to 10.5. But at 14V (from the generator) the contrast between the size and the stop is erased, the size becomes too bright. If someone is interested, then ideally you need to run through resistors: The size is 30 ohms (0.05a), the stop is 13 ohms (0.15a). There is an opportunity to solder inside the base, there is a place, the cap is removed.",positive
235,Nothing to say.Perfected.,neutral
236,"Nothing awry,everything ok",neutral
237,"Very cute and thick cell phone case, it protects well and makes the cell phone see a little bigger... good quality!",positive
238,Received even earlier than promised. For this great respect!!! Item as described. I will send the seller!!!,positive
239,Lid not at a good grade,negative
240,"No packaging, attaint on the seller. When texting, one smiles. The slightest blow and unity plastic spare parts from the vacuum cleaner will remain",negative
241,"Request was made on the 11/09 and arrived on the 24/09 in the Valparaiso de Goiás. I found it fast. I'm going to talk, I'm a bass player and my business is serious, it has a lot of volume and a very good record, it still manages to make its Equalization, which is even better. Can go without fear bearers.",positive
242,It covers the iPhone firmly with a perfect sense of size. It is difficult to get fingerprints and it is useful.,positive
243,Completely as outlining,neutral
244,"SUPER bad. I never obtain my order.
They stole from ME",negative
245,"Magnets are very strong. The back surface of the case is slippery. Oj of this, the cellphones slides in the fingers.",neutral
246,"It's great, fine, robust, elegant, it even has protectors on the speakers. Also fit my lens protectors into the case. Very good.",positive
247,"It's a bogus hoax and scam... Speed never USB troika.0,  maybe 1.1,  also having falsified partitions table. I don't recommend this flash",negative
248,It's all right.,positive
249,"It fits perfectly with the iPhone 16. No buttons and other positions are also out of place! It covers up to the camera lens, so you don't need to prepare it separately. Although it is still not quite sure how it will affect the picture. The order was shipped quickly and arrived in a few days.",positive
250,For decontamination the desktop is the very thing.,neutral
251,"The material is bad and poor.
It's been better.
Don't buy it.",negative
252,Are mammoth and so normal.,neutral
253,Indeed the memory is 2T is fast and in particular it worked very well for me...,positive
254,Having saw the trohas of little sweat. And a check-up for your own cat of norms.,neutral
255,"The flash drive is fire, for its volume and price it is top. I tried uploading films to it in different formats, the POCO smartphone sees and reads it. 
 Such a flash drive is needed for vacation abroad, in hotels where there is paid internet, and I want to watch a movie or listen to my favorite music.",positive
256,"Excellent cover, good quality and fits perfectly on the iPhone, very fast delivery in Italy.",positive
257,I liked it very much,positive
258,I requests for one style of tapestry and they sent another,neutral
259,Very nice case I really liked,positive
260,"The seller attempt to circumvent me, I paid 33 units and sent me 1 unit. Be careful!",negative
261,"It is not very convenient, there is a lot of space between the earphone itself and the encase because of this the case is bent inside",negative
262,"the sound lineament is horrible. no wonder the price. I should have known. But as a concept, its decent. lacking battery monitoring on the alfresco",negative
263,Amazing how quickly I received them. Thank you!,positive
264,I like it though it's big in size...  cute,positive
265,I invitation for I phone 15 and get for I phone 14,neutral
266,The seller is not decent! Ordered a case for 13 Pro Max! Came! Does not suit! Wrote in support-in the end they offered to send the goods second! And they May or may not accept it! Pay more for shipping! In short-sent them! bash not mess,negative
267,Cool case. Glass came as a gift. Magnet working.,positive
268,Viskonannya. Chokhol does not want to be on the phone. I don't generate it to shvidko. Mittv's data core. My daughter.,negative
269,A trapping for only four Watchpace to be stored,neutral
270,"Garna rubber band. Avec coins, even though the order of tsyna. Not even more tight, they are like a asks. Shvidka delivery.",neutral
271,"Duje mil gamanec. I took a blakitny for a keyhole and a Blisk on the surface. Tobto for divchinka.
And liché for papereal pennies and card. Pour Nem vidilla coins.
Trohi is Roscian. Ale of the enemies, the part on the bottom, then the norms.",neutral
272,"Trimally chokholchikkk, every went",neutral
273,Perfect. Exact color of a very beautiful dark green. Exact dimensions. Easy to wash and dry very quickly. Delivered quickly. I recommend.,positive
274,Super nightlight and functional,positive
275,"exactly as the photo 
excellent quality 
received in perfect condition 
i am very satisfied 
recommended",positive
276,"I like the case very much, quality and beautiful. Delivery is fast, well packed. Thanks to the seller.",positive
277,Everything OKAY is worth what it costs,neutral
278,My brush is charging fine but won't turn on,neutral
279,"Everything doesn't play, window broken. It's a scam",negative
280,"I AM also chokhol in the third, ale on the model of telephony. Juge yakisny, I recommend it to the deputy",positive
281,"Very good the case, add that it is something balloon and you can place cards and they are very safe",positive
282,"I waited too long for my say, but did not wait. I received the SMS that the order was completed and the parcel was delivered, but I did not obtain the vigil (((very often I shit on AliExpress and this is not a pleasant situation I had for the commencement time!!!",negative
283,I asked for three wallet and they never fall,negative
284,"The product is of good quality, it goes everywhere works very well, good seller!",positive
285,"The knapsack is normal, it will be true to remember the most of the days of the asking. All Super shvidko came (about 2 tizhni)",neutral
286,"Delivery went fast! The bracket works with a metal hook and is therefore very tight! Fits for Audi and VW. Before that, they always had those with a plastic nose and slide.",positive
287,"Beautiful but does not protect the camera part like other cases, it is very on the same point",negative
288,Until today since I prescribe I did not develop the product I request please cancel it immediately and return to me the money for credit.,negative
289,It took for 10 days. Everything was going. My girl.,neutral
290,"Good product, shvidko follow, cheap money for coins. The goods are contaminated. Дякуююююююююююююю.",negative
291,Good quality good storage a good size with a large storage very easy to tramport,positive
292,"Cover Kiyus for 15 Pro Gray Titanium Look Chic, Delivery Mes of Horror",neutral
293,"The framework is elastic and very thin, not even a simple sketch comes to put it on, it is a discharge with a rubber around it and long tires to tie I don't know where. I have been trying for eighter days to ask for the cushions that the photo is the same, impossible to bring along with the trafficker. Once understand the eccentric I'm glad I didn't order it",negative
294,Super) came early! I put 5 stars,positive
295,Those are to cheap,neutral
296,Don’t waste your money very risky item.,negative
297,Item according to the outlines.,neutral
298,"Came after another, for 7 days. A class piece), a battery for 2 times of the brother in the motorcar, Tse mnus (, peachy tensile, a bunch of nozzles for inflating and zduvu of these circles and mattresses)), compact, less Chim FN of chums), yak bi vindriti the battery is more likely to be even if not Bulo))). I thinking about my own penny gato..",neutral
299,"I took it because of the convenient location in the ear, because the earplugs are large and rub the ears. Everything is easier here. But there is a feeling of underfilement: Noise Decrease unmistakably will not be ideal in half-plugs, but I did not notice much difference between the usual mode and the noise driver, well, it slightly cutting the top. There is no volume adjustment on the headphones. The asks in the telefono tumbles off from time to time, you have to driving in the login and password again. For the duration of collaborating and royalty: 2,5 hours with noise. Charging headphones up to 100% - 45 minutes. At a pricing of just over 2 tons is quite a jobs option.",neutral
300,Very happy with these cases!! They are beautiful!! They are of a very soft and pleasant to the touch fabric. Thick and warm texture. Ideal for this winter season. I recommend your purchase without any doubt. Arrive quickly and perfectly packed. Great the seller!!,positive
301,Perfect on trial.,positive
302,"Stylish, high-quality, both in materials and characteristics, for this cash. It is a little unusual that they are satin, slipping in the hands and ears, but do not fall out, do not cause discomfort. Though for minimal ears will not be very convenient.
Turned off unnecessary noise in the asks, because Did not notice the difference. In the equalizer opting the bass. Between LDAC and AAC also did not notice the difference.",neutral
303,"It seems that it collaborated well, I had to put it to charge and then it could not connect but then I got it, it does not turn on when inflection the wrist",neutral
